id,phase,target_week,workstream,task,priority,primary_owner,dependency,acceptance_criteria,gate,status
GOV-001,Phase 0,1,Repository,Create private repository my-seventh-meal-app,P0,Founder,None,"Private repository exists on main and GitHub connector has access",Gate A,Not started
GOV-002,Phase 0,1,Repository,Push starter package into product repository,P0,Engineer,GOV-001,"Starter history is committed and research repo contains no product source",Gate A,Blocked
GOV-003,Phase 0,1,Quality,Install dependencies and run verify and type checks,P0,Engineer,GOV-002,"npm install npm run verify and npm run check succeed",Gate A,Blocked
GOV-004,Phase 0,1,Workflow,Add protected main branch and pull request checks,P1,Engineer,GOV-002,"Direct accidental pushes are prevented and checks run on pull requests",Gate A,Blocked
GOV-005,Phase 0,1,Environment,Create development test and production environment templates,P0,Engineer,GOV-002,"Environment names secrets owners and rotation expectations are documented",Gate A,Blocked
DEV-001,Phase 0,1,Devices,Run starter on a current iPhone,P0,Engineer,GOV-003,"Full mock journey completes without blocker",Gate A,Blocked
DEV-002,Phase 0,1,Devices,Run starter on compact iPhone screen,P0,QA,GOV-003,"No clipping overlap or hidden action in core journey",Gate A,Blocked
DEV-003,Phase 0,1,Devices,Run starter on recent Android phone,P0,Engineer,GOV-003,"Full mock journey completes without blocker",Gate A,Blocked
DEV-004,Phase 0,1,Devices,Run starter on smaller or mid-range Android phone,P0,QA,GOV-003,"Core journey remains usable with normal performance",Gate A,Blocked
DEV-005,Phase 0,1,Web,Run starter in supported web browser,P1,Engineer,GOV-003,"Supporting web route renders and has no blocking error",Gate A,Blocked
UX-001,Phase 1,2,Experience,Refine welcome and product explanation,P1,Product UX,DEV-001,"First-time users understand photo plus confirmation plus estimate without coaching",Gate A,Not started
UX-002,Phase 1,2,Experience,Refine goal selection and skip behavior,P1,Product UX,UX-001,"Goal selection is optional editable and understandable",Gate A,Not started
UX-003,Phase 1,2,Experience,Add camera permission denied experience,P0,Engineer,DEV-001,"User can choose gallery or manual entry without dead end",Gate A,Not started
UX-004,Phase 1,2,Experience,Add gallery permission denied experience,P0,Engineer,DEV-001,"User can take a photo or enter manually without dead end",Gate A,Not started
UX-005,Phase 1,2,Resilience,Add loading retry no-result and provider-failure states,P0,Engineer,DEV-001,"Every failure state offers retry edit or manual fallback",Gate A,Not started
UX-006,Phase 1,2,Resilience,Add local meal draft recovery,P1,Engineer,DEV-001,"Interrupted draft returns after app restart without exposing old photos unnecessarily",Gate A,Not started
UX-007,Phase 1,3,Accessibility,Test large text and screen reader labels,P0,QA,UX-001,"Core journey works at large text and controls have useful labels",Gate A,Not started
UX-008,Phase 1,3,Accessibility,Add text summaries for charts,P1,Product UX,UX-007,"Progress information is available without reading chart graphics",Gate A,Not started
UX-009,Phase 1,3,Content,Review all health and nutrition language,P0,Product UX,UX-001,"No medical diagnosis shame or false-accuracy wording remains",Gate A,Not started
DAT-001,Phase 1,2,Evaluation,Define 60-meal provider comparison dataset,P0,Product Data,None,"Dataset covers single foods mixed dishes packaged foods restaurant meals and imperfect photos",Gate B,Not started
DAT-002,Phase 1,3,Evaluation,Capture known ingredients recipe yield and portions for reference subset,P0,Nutrition reviewer,DAT-001,"Reference subset has source photos recipe details and measured portions",Gate B,Not started
DAT-003,Phase 1,3,Evaluation,Define scoring rubric and correction taxonomy,P0,Product Data,DAT-001,"Top-three match edits questions latency cost and trust definitions are documented",Gate B,Not started
BE-001,Phase 2,3,Backend,Create backend skeleton and health endpoint,P0,Backend engineer,GOV-005,"Development backend deploys and returns a versioned health response",Gate B,Not started
BE-002,Phase 2,3,Sessions,Add anonymous development sessions,P0,Backend engineer,BE-001,"A device can create and refresh a temporary session without personal profile data",Gate B,Not started
IMG-001,Phase 2,3,Images,Compress selected images locally,P0,Mobile engineer,BE-001,"Images meet target size and preserve useful meal detail",Gate B,Not started
IMG-002,Phase 2,3,Images,Remove unnecessary image metadata,P0,Mobile engineer,IMG-001,"Location and unnecessary metadata are removed before upload",Gate B,Not started
IMG-003,Phase 2,4,Images,Create short-lived signed private upload flow,P0,Backend engineer,BE-002,"Client uploads without storage credentials and objects are private",Gate B,Not started
IMG-004,Phase 2,4,Privacy,Implement default post-analysis photo deletion,P0,Backend engineer,IMG-003,"Raw photos are deleted on schedule unless retention was explicitly selected",Gate B,Not started
IMG-005,Phase 2,4,Privacy,Add photo retention preference,P1,Mobile engineer,IMG-004,"User can understand and change whether photos remain stored",Gate B,Not started
OBS-001,Phase 2,4,Measurement,Record request timing provider and estimated cost,P0,Backend engineer,BE-001,"Metrics contain no raw meal photo food name weight or health detail",Gate B,Not started
OBS-002,Phase 2,4,Measurement,Add provider failure and retry limits,P0,Backend engineer,BE-001,"Retries are bounded and failure returns a manual fallback",Gate B,Not started
AI-001,Phase 3,4,Providers,Implement Passio adapter in test environment,P0,Backend engineer,IMG-003,"Response is normalized to internal MealAnalysis schema",Gate B,Not started
AI-002,Phase 3,4,Providers,Implement LogMeal adapter in test environment,P0,Backend engineer,IMG-003,"Response is normalized to internal MealAnalysis schema",Gate B,Not started
AI-003,Phase 3,4,Providers,Implement general vision adapter in test environment,P0,Backend engineer,IMG-003,"Response contains candidates uncertainty and questions but no final nutrition authority",Gate B,Not started
AI-004,Phase 3,5,Evaluation,Run first 20-meal provider comparison,P0,Product Data,AI-001|AI-002|AI-003,"Scorecard includes recognition corrections questions latency failures privacy and cost",Gate B,Not started
AI-005,Phase 3,6,Questions,Build high-impact question ranking,P0,Product UX,AI-004,"Questions prioritize portion preparation added fats and hidden ingredients",Gate B,Not started
AI-006,Phase 3,6,Evaluation,Run complete 60-meal provider comparison,P0,Product Data,AI-005,"Results are reproducible and provider recommendation is written",Gate B,Not started
AI-007,Phase 3,7,Decision,Approve provider or hybrid approach,P0,Founder,AI-006,"Decision documents strengths limitations privacy cost and supported meal boundary",Gate B,Not started
NUT-001,Phase 4,6,Nutrition,Connect USDA FoodData Central through backend,P0,Backend engineer,BE-001,"Search and food-detail calls are server-side and source IDs are stored",Gate C,Not started
NUT-002,Phase 4,6,Nutrition,Create canonical food ingredient serving and nutrient records,P0,Backend engineer,NUT-001,"Records include source version unit and data-quality status",Gate C,Not started
