id,phase,epic,task,priority,primary_owner,acceptance_criteria,dependency,investment_gate
VAL-001,Phase 0,Market research,Map 15-20 direct and adjacent competitors,P0,Founder,"Competitor sheet includes platform audience promise pricing trial core workflow and visible differentiation",None,Gate 1
VAL-002,Phase 0,Review mining,Collect and code at least 500 review support and community observations,P0,Founder/Data analyst,"Evidence is deduplicated and coded by pain frequency severity workaround and willingness-to-pay signal",VAL-001,Gate 1
VAL-003,Phase 0,Customer research,Recruit 20 qualified South Asian nutrition-tracking users,P0,Founder,"Participants meet age geography cuisine frequency and tracking-behavior screener",None,Gate 1
VAL-004,Phase 0,Customer research,Conduct 20 structured interviews,P0,Founder,"Interview notes capture current workflow pain frequency alternatives trust and price behavior",VAL-003,Gate 1
VAL-005,Phase 0,Diary study,Run seven-day meal-logging diary with 15-20 users,P0,Founder,"At least 15 participants complete five or more diary days with meal photos current logging method and corrections",VAL-003,Gate 1
VAL-006,Phase 0,Prototype,Design clickable photo-confirmation prototype,P0,UX Designer,"Prototype covers capture candidate dish portion high-impact ingredients result range and save",VAL-004,Gate 1
VAL-007,Phase 0,Concierge test,Manually generate confirmed nutrition results for diary meals,P0,Founder/Nutrition reviewer,"Results show source recipe assumptions range and time required; no medical claims",VAL-005,Gate 1
VAL-008,Phase 0,Pricing,Launch landing page with $9.99 $14.99 and $19.99 price tests,P0,Founder/Growth,"Page tracks visitor waitlist reservation and deposit behavior by price cell",VAL-006,Gate 1
VAL-009,Phase 0,Decision,Complete Gate 1 GO REVISE KILL scorecard,P0,Founder,"Decision includes evidence counts payment behavior unresolved risks and authorized next-stage budget",VAL-002|VAL-004|VAL-005|VAL-008,Gate 1
DES-001,Phase 1,Product definition,Write approved product requirements document,P0,Founder,"PRD defines target user jobs must-have scope exclusions metrics and release boundary",VAL-009,Gate 2A
DES-002,Phase 1,UX,Create mobile information architecture and end-to-end user flows,P0,UX Designer,"Flows cover onboarding photo log manual log recipe dashboard paywall export deletion and errors",DES-001,Gate 2A
DES-003,Phase 1,UX,Create accessible component and design system,P1,UX Designer,"Components meet contrast text sizing touch target and dynamic-type requirements",DES-002,Gate 2A
DES-004,Phase 1,Architecture,Approve architecture decision record,P0,Founder/Engineer,"ADR defines mobile API database storage jobs AI abstraction billing analytics environments and deployment",DES-001,Gate 2A
DES-005,Phase 1,Privacy,Create data inventory and data-flow map,P0,Privacy reviewer/Engineer,"Every collected field processor storage location purpose retention and deletion path is documented",DES-004,Gate 2A
DES-006,Phase 1,Security,Complete initial threat model,P0,Engineer/Security reviewer,"Threats cover authentication signed uploads sensitive logs access control secrets deletion and vendor compromise",DES-005,Gate 2A
DES-007,Phase 1,Compliance,Create general-wellness language and prohibited-claims guide,P0,Founder/Privacy reviewer,"Guide maps allowed and prohibited claims to app UI support content and store metadata",DES-001,Gate 2A
DATA-001,Phase 1,Food data,Integrate USDA FoodData Central in a server-side proof,P0,Backend Engineer,"Search and details calls use server-held key caching retries and source attribution",DES-004,Gate 2A
DATA-002,Phase 1,Food data,Design canonical food nutrient recipe and source schema,P0,Backend Engineer/Data analyst,"Schema supports versioning units yield provenance confidence and regression testing",DES-004,Gate 2A
DATA-003,Phase 1,Food data,Curate initial 40-60 dish templates and 100-150 ingredients,P0,Nutrition reviewer/Data analyst,"Records have source ingredient list yield serving calculation version and review status",DATA-002,Gate 2A
DATA-004,Phase 1,Evaluation,Define 500-photo evaluation dataset and annotation protocol,P0,Founder/Nutrition reviewer,"Protocol defines dish labels portions ambiguities ground truth privacy and scoring metrics",DES-001,Gate 2A
AI-001,Phase 1,AI proof,Evaluate multimodal models for structured dish candidate output,P0,AI Engineer,"Comparison reports quality latency cost structured-output reliability and failure modes on representative photos",DATA-004,Gate 2A
AI-002,Phase 1,AI proof,Prototype high-impact clarification-question selection,P0,AI Engineer,"Question engine chooses no more than four questions and prioritizes ingredients or portions that materially affect calculation",AI-001,Gate 2A
CALC-001,Phase 1,Nutrition engine,Implement deterministic recipe nutrient calculation library,P0,Backend Engineer,"Known recipe totals reproduce expected values within documented rounding tolerance",DATA-002|DATA-003,Gate 2A
POC-001,Phase 2,Mobile proof,Implement camera capture compression metadata stripping and signed upload,P0,Mobile Engineer,"User can securely upload a photo; secrets are absent from client; error states are handled",DES-004|DES-006,Gate 2B
POC-002,Phase 2,Meal analysis,Implement candidate identification API and structured validation,P0,Backend/AI Engineer,"API returns schema-valid candidates uncertainty tags and traceable model/version metadata",AI-001|POC-001,Gate 2B
POC-003,Phase 2,Meal analysis,Implement clarification flow,P0,Mobile/Backend Engineer,"User answers prioritized portion ingredient and preparation questions with edit and fallback controls",AI-002|POC-002,Gate 2B
POC-004,Phase 2,Food mapping,Map confirmed answers to canonical foods and recipes,P0,Backend Engineer,"Mapping produces versioned food/recipe IDs portions and provenance or routes to manual fallback",DATA-002|POC-003,Gate 2B
POC-005,Phase 2,Nutrition result,Return deterministic nutrient estimate range and confidence,P0,Backend Engineer,"Result displays calories protein carbs fat fiber source and uncertainty without medical claim",CALC-001|POC-004,Gate 2B
POC-006,Phase 2,Meal history,Save edit and delete a meal,P0,Mobile/Backend Engineer,"Meal record is persisted reproducibly and removed from ordinary views when deleted",POC-005,Gate 2B
POC-007,Phase 2,Internal admin,Create minimal nutrition-quality issue console,P1,Full-stack Engineer,"Reviewer can inspect flagged mappings calculations sources and user-reported errors without unnecessary PII",POC-005,Gate 2B
POC-008,Phase 2,Evaluation,Run two-week proof with 15-30 users,P0,Founder/QA,"Report includes logging time top-three recall question count usage payment intent AI cost and user trust",POC-001|POC-006,Gate 2B
POC-009,Phase 2,Decision,Complete Gate 2B GO REVISE KILL scorecard,P0,Founder,"Decision verifies time recall repeat usage paid continuation and unit-cost criteria",POC-008,Gate 2B
MVP-001,Phase 3,Foundation,Create dedicated private product repository and CI environments,P0,Engineer,"Repository contains branch protections secret handling dev staging production config and automated checks",POC-009,Gate 3
MVP-002,Phase 3,Identity,Implement production authentication profile consent and age gate,P0,Mobile/Backend Engineer,"Apple Google and email login work; consent versions are recorded; under-18 users are blocked",MVP-001,Gate 3
MVP-003,Phase 3,Onboarding,Implement goal dietary cuisine and target onboarding,P0,Mobile Engineer,"User completes onboarding with methodology and limitation disclosure and can edit settings",MVP-002,Gate 3
MVP-004,Phase 3,Manual logging,Implement manual food search and manual meal entry,P0,Mobile/Backend Engineer,"User can log without AI and view source-backed nutrients",DATA-001|MVP-002,Gate 3
MVP-005,Phase 3,Recipes,Implement household recipe builder versioning and serving yield,P0,Mobile/Backend Engineer,"User creates edits versions and reuses recipes with deterministic totals",CALC-001|MVP-002,Gate 3
MVP-006,Phase 3,Personalization,Implement favorites recent meals leftovers and correction memory,P0,Mobile/Backend Engineer,"Repeated meals require fewer corrections and users can copy prior entries",MVP-004|MVP-005|POC-006,Gate 3
MVP-007,Phase 3,Dashboard,Implement daily and weekly nutrition adherence dashboards,P0,Mobile/Backend Engineer,"Dashboard shows ranges protein fiber calorie goal meal consistency and neutral insights",MVP-003|MVP-006,Gate 3
MVP-008,Phase 3,Progress,Implement weight log and trend,P1,Mobile/Backend Engineer,"User can add edit delete and hide weight history; data is excluded from analytics payloads",MVP-002,Gate 3
MVP-009,Phase 3,Fitness,Implement manual activity minutes and optional read-only step integration,P1,Mobile Engineer,"Permissions are granular; app functions without integration; only approved fields are stored",DES-005|MVP-002,Gate 3
MVP-010,Phase 3,Subscriptions,Integrate RevenueCat paywall entitlements restore and subscription status,P0,Mobile/Backend Engineer,"Free and Pro entitlements work on iOS and Android including restore and expiration states",MVP-002,Gate 3
MVP-011,Phase 3,Notifications,Implement configurable meal and weekly-review reminders,P1,Mobile/Backend Engineer,"Users opt in and control frequency; notification content does not reveal sensitive meal or weight data on lock screen by default",MVP-002,Gate 3
